timestamp,rpm,temperature,vibration,oil_pressure,voltage
2025-01-01 00:00:00,1498.85,69.83,0.1978,5.07,219.74
2025-01-01 00:00:01,1488.03,70.33,0.1947,4.98,220.23
2025-01-01 00:00:02,1501.88,71.17,0.2132,5.01,218.52
2025-01-01 00:00:03,1491.91,70.25,0.2264,5.0,219.79
2025-01-01 00:00:04,1504.29,68.55,0.194,5.05,221.75
2025-01-01 00:00:05,1498.12,70.38,0.2052,5.08,217.77
2025-01-01 00:00:06,1504.6,68.49,0.1479,4.94,218.17
2025-01-01 00:00:07,1507.07,70.67,0.176,5.08,218.0
2025-01-01 00:00:08,1499.39,69.71,0.2027,5.08,221.28
2025-01-01 00:00:09,1502.88,70.66,0.21,4.94,218.57
2025-01-01 00:00:10,1496.33,70.51,0.1955,5.23,218.36
2025-01-01 00:00:11,1491.31,70.78,0.229,5.05,221.67
2025-01-01 00:00:12,1511.52,69.92,0.1721,4.95,221.91
2025-01-01 00:00:13,1488.57,70.04,0.2057,4.97,221.45
2025-01-01 00:00:14,1504.78,72.33,0.2131,4.94,218.88
2025-01-01 00:00:15,1493.49,70.96,0.1894,4.99,221.5
2025-01-01 00:00:16,1494.36,69.72,0.164,4.89,218.86
2025-01-01 00:00:17,1503.49,71.21,0.2005,5.03,220.34
2025-01-01 00:00:18,1508.85,70.91,0.2064,4.9,221.81
2025-01-01 00:00:19,1503.23,71.24,0.2004,5.2,219.28
2025-01-01 00:00:20,1512.93,70.13,0.1907,4.89,219.7
2025-01-01 00:00:21,1511.58,70.83,0.2148,4.76,221.42
2025-01-01 00:00:22,1504.65,69.47,0.1886,5.0,223.45
2025-01-01 00:00:23,1491.78,69.59,0.2284,4.96,219.27
2025-01-01 00:00:24,1501.01,68.78,0.2056,4.88,221.77
2025-01-01 00:00:25,1500.26,72.3,0.2069,5.14,217.39
2025-01-01 00:00:26,1499.27,70.34,0.2362,4.83,221.98
2025-01-01 00:00:27,1504.99,71.56,0.2156,5.01,218.96
2025-01-01 00:00:28,1490.28,70.22,0.1976,5.2,218.78
2025-01-01 00:00:29,1502.84,68.45,0.1935,5.03,221.65
2025-01-01 00:00:30,1511.87,69.98,0.1792,5.05,221.03
2025-01-01 00:00:31,1504.23,69.32,0.2242,5.01,221.4
2025-01-01 00:00:32,1510.49,70.63,0.2073,5.22,220.49
2025-01-01 00:00:33,1497.94,70.14,0.2313,5.01,221.04
2025-01-01 00:00:34,1509.89,69.51,0.1672,5.03,220.46
2025-01-01 00:00:35,1495.47,70.9,0.2139,4.9,221.04
2025-01-01 00:00:36,1498.77,68.55,0.2109,5.0,218.51
2025-01-01 00:00:37,1504.53,70.52,0.1903,5.04,222.03
2025-01-01 00:00:38,1494.66,70.41,0.202,5.23,216.28
2025-01-01 00:00:39,1505.93,69.72,0.1999,5.19,219.98
2025-01-01 00:00:40,1518.3,69.59,0.209,4.95,218.62
2025-01-01 00:00:41,1500.89,69.75,0.2061,4.79,224.0
2025-01-01 00:00:42,1499.06,71.78,0.182,5.03,226.33
2025-01-01 00:00:43,1493.45,68.54,0.1912,5.05,221.39
2025-01-01 00:00:44,1510.74,69.78,0.1702,4.96,222.48
2025-01-01 00:00:45,1504.15,68.08,0.2015,5.14,224.25
2025-01-01 00:00:46,1504.93,70.35,0.1775,4.92,220.09
2025-01-01 00:00:47,1504.47,70.62,0.1928,4.88,218.44
2025-01-01 00:00:48,1491.2,70.68,0.1562,4.97,220.9
2025-01-01 00:00:49,1512.64,70.11,0.2225,4.96,218.51
2025-01-01 00:00:50,1495.08,71.57,0.2224,5.05,226.66
2025-01-01 00:00:51,1500.22,70.66,0.2087,4.98,224.63
2025-01-01 00:00:52,1512.54,68.64,0.1946,5.04,221.57
2025-01-01 00:00:53,1489.71,67.79,0.1645,4.99,219.79
2025-01-01 00:00:54,1503.27,69.27,0.1782,4.8,220.66
2025-01-01 00:00:55,1503.48,71.04,0.2186,4.98,222.7
2025-01-01 00:00:56,1499.44,69.38,0.1924,4.94,215.67
2025-01-01 00:00:57,1501.79,70.3,0.1956,4.93,220.74
2025-01-01 00:00:58,1514.28,70.08,0.1927,4.94,219.86
2025-01-01 00:00:59,1490.44,69.92,0.2042,5.18,221.89
2025-01-01 00:01:00,1508.84,69.34,0.2164,4.89,220.62
2025-01-01 00:01:01,1503.92,69.28,0.243,5.06,216.19
2025-01-01 00:01:02,1505.01,69.64,0.2031,5.05,220.78
2025-01-01 00:01:03,1484.28,68.89,0.2186,5.13,223.81
2025-01-01 00:01:04,1515.03,68.0,0.2186,4.81,223.23
2025-01-01 00:01:05,1502.64,68.91,0.2434,5.06,216.22
2025-01-01 00:01:06,1502.97,69.32,0.2055,4.95,222.75
2025-01-01 00:01:07,1489.25,70.37,0.2396,4.92,220.42
2025-01-01 00:01:08,1502.26,69.36,0.2164,5.01,218.11
2025-01-01 00:01:09,1514.75,70.85,0.2001,4.94,218.43
2025-01-01 00:01:10,1510.51,69.91,0.2127,4.98,221.23
2025-01-01 00:01:11,1499.74,70.82,0.1999,5.08,221.34
2025-01-01 00:01:12,1499.75,69.2,0.1848,4.93,218.03
2025-01-01 00:01:13,1507.61,70.01,0.2351,5.23,220.05
2025-01-01 00:01:14,1488.31,69.68,0.2022,4.85,219.5
2025-01-01 00:01:15,1503.0,69.6,0.1884,4.92,223.57
2025-01-01 00:01:16,1499.44,69.23,0.1963,5.1,218.63
2025-01-01 00:01:17,1504.58,70.79,0.2188,5.14,218.9
2025-01-01 00:01:18,1509.8,69.27,0.196,5.12,221.64
2025-01-01 00:01:19,1500.76,68.87,0.2152,4.94,218.15
2025-01-01 00:01:20,1495.57,70.31,0.1616,5.04,220.35
2025-01-01 00:01:21,1496.09,71.1,0.2163,4.94,218.66
2025-01-01 00:01:22,1506.33,68.55,0.1974,4.94,220.14
2025-01-01 00:01:23,1502.47,70.1,0.2268,5.02,219.37
2025-01-01 00:01:24,1491.1,70.79,0.2148,5.15,218.51
2025-01-01 00:01:25,1501.01,70.01,0.2025,5.0,216.57
2025-01-01 00:01:26,1507.41,70.72,0.2269,5.22,219.36
2025-01-01 00:01:27,1500.53,70.08,0.2432,4.83,220.97
2025-01-01 00:01:28,1489.06,67.49,0.164,4.86,222.14
